severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,publication,cmn_relaxng_pi,pisendel_violin_concerto_corr.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN RELAX NG xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
error,publication,cmn_schematron_pi,pisendel_violin_concerto_corr.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN Schematron xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,1879,tie,10.0,,,qwy3yww,Reference '#odumt3g' in @startid does not resolve to an xml:id in this file.,,#odumt3g,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,1879,tie,10.0,,,qwy3yww,Reference '#mwx3fls' in @endid does not resolve to an xml:id in this file.,,#mwx3fls,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,6869,tie,56.0,,,m739p6k,Reference '#krbsubk' in @startid does not resolve to an xml:id in this file.,,#krbsubk,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,6869,tie,56.0,,,m739p6k,Reference '#f1iwdxma' in @endid does not resolve to an xml:id in this file.,,#f1iwdxma,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,6944,slur,57.0,,,o1wruzky,Reference '#m1l2z8c6' in @startid does not resolve to an xml:id in this file.,,#m1l2z8c6,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,6944,slur,57.0,,,o1wruzky,Reference '#p6o51po' in @endid does not resolve to an xml:id in this file.,,#p6o51po,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,6945,slur,57.0,,,s1l2bwzo,Reference '#r15rvyen' in @startid does not resolve to an xml:id in this file.,,#r15rvyen,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,6945,slur,57.0,,,s1l2bwzo,Reference '#v17hgyx1' in @endid does not resolve to an xml:id in this file.,,#v17hgyx1,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,7090,tie,59.0,,,q1rll9ke,Reference '#p13iz6uz' in @startid does not resolve to an xml:id in this file.,,#p13iz6uz,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,7090,tie,59.0,,,q1rll9ke,Reference '#s1gnfrz2' in @endid does not resolve to an xml:id in this file.,,#s1gnfrz2,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,7091,slur,59.0,,,x1f2myv,Reference '#w35lbs4' in @startid does not resolve to an xml:id in this file.,,#w35lbs4,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,7091,slur,59.0,,,x1f2myv,Reference '#y1ql6adi' in @endid does not resolve to an xml:id in this file.,,#y1ql6adi,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,13007,slur,116.0,,,ardn6mh,Reference '#c1w8mlfq' in @endid does not resolve to an xml:id in this file.,,#c1w8mlfq,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,13176,slur,118.0,,,y12zakhz,Reference '#x1lx45b4' in @startid does not resolve to an xml:id in this file.,,#x1lx45b4,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,13177,slur,118.0,,,z1ne6crd,Reference '#x1lx45b4' in @startid does not resolve to an xml:id in this file.,,#x1lx45b4,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,13346,slur,120.0,,,a1vfmb1f,Reference '#cfcpr9v' in @endid does not resolve to an xml:id in this file.,,#cfcpr9v,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,13512,slur,122.0,,,d16c4s2c,Reference '#c1cx3k7z' in @startid does not resolve to an xml:id in this file.,,#c1cx3k7z,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,16167,slur,153.0,,,d1ycuslq,Reference '#c16t68z2' in @startid does not resolve to an xml:id in this file.,,#c16t68z2,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,16167,slur,153.0,,,d1ycuslq,Reference '#p42lxco' in @endid does not resolve to an xml:id in this file.,,#p42lxco,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,21466,slur,187.0,,,l11k7qau,Reference '#jqcgb83' in @startid does not resolve to an xml:id in this file.,,#jqcgb83,
error,references,broken_internal_reference,pisendel_violin_concerto_corr.mei,21466,slur,187.0,,,l11k7qau,Reference '#pv15ymf' in @endid does not resolve to an xml:id in this file.,,#pv15ymf,
warning,publication,cmn_meiversion,pisendel_violin_concerto_corr.mei,5,mei,,,,,Publication profile should identify the MEI version and customization.,5.1+CMN,5.1,
warning,publication,edition_statement,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,"Publication MEI should record a named, versioned edition.",edition text and semantic version in @n,,
warning,publication,editorial_declaration,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,Publication MEI should state its editorial policy.,,,
warning,publication,iiif_manifest,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,Source metadata should link the IIIF Presentation manifest.,,,
warning,publication,mei_license,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,Publication MEI should state reuse conditions.,,,
warning,publication,project_description,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,Publication MEI should identify its project context.,,,
warning,publication,publisher,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,Publication MEI should identify its publisher.,,,
warning,publication,repository_alt_id,pisendel_violin_concerto_corr.mei,5,meiHead,,,,m1c6k1f5,meiHead should carry a non-empty repository-stem altId.,,,
